Item,row_id,discipline,value
Shouted at child,1,"Class 1
High behavioral control",0.96
Called child names,2,"Class 1
High behavioral control",0.759
Shook child,3,"Class 1
High behavioral control",0.746
Spanked child,4,"Class 1
High behavioral control",0.881
Hit/slapped child on arm/leg,5,"Class 1
High behavioral control",0.822
Hit child with object,6,"Class 1
High behavioral control",0.593
Hit/slapped child on face/head/ears,7,"Class 1
High behavioral control",0.664
Beat as hard as one could,8,"Class 1
High behavioral control",0.282
Took privileges away from child,9,"Class 1
High behavioral control",0.687
Explained why behavior was wrong,10,"Class 1
High behavioral control",0.896
Gave child something else to do,11,"Class 1
High behavioral control",0.632
